Date,Mode,Line_or_Route,Borough_or_Region,Daily_Ridership,Recovery_Percentage,Incident_Type,Delay_Minutes,Peak_Period
2026-02-01,Subway,C,Bronx,2001005,73.3,Mechanical Issue,29,PM Peak
2026-02-01,Subway,5,Westchester,2189818,69.5,Track Work,16,AM Peak
2026-02-01,Subway,1,Staten Island,2329885,75.8,Police Activity,25,Evening
2026-02-01,Bus,M15,Long Island,891977,77.8,Mechanical Issue,12,Evening
2026-02-01,Bus,Q60,Brooklyn,924489,71.8,Weather,25,Evening
2026-02-01,Bus,M15,Brooklyn,847893,81.4,Staffing,21,Evening
2026-02-01,LIRR,Babylon,Long Island,144168,72.1,Signal Problem,25,AM Peak
2026-02-01,LIRR,Long Beach,Manhattan,169830,74.9,Mechanical Issue,11,PM Peak
2026-02-01,LIRR,Ronkonkoma,Westchester,159538,82.8,No Incident,0,PM Peak
2026-02-01,Metro-North,New Haven,Bronx,116756,68.3,Weather,7,Midday
2026-02-01,Metro-North,New Haven,Long Island,138189,82.0,Weather,13,PM Peak
2026-02-01,Metro-North,New Haven,Bronx,154840,80.6,Signal Problem,3,AM Peak
2026-02-01,Metro-North,Harlem,Manhattan,144480,77.4,No Incident,0,AM Peak
2026-02-02,Subway,A,Brooklyn,3700843,68.5,Weather,25,PM Peak
2026-02-02,Subway,C,Bronx,3756432,79.3,No Incident,0,Midday
2026-02-02,Subway,F,Long Island,4091212,83.6,Mechanical Issue,20,AM Peak
2026-02-02,Subway,N,Bronx,3840465,77.4,Signal Problem,11,AM Peak
2026-02-02,Bus,Q60,Staten Island,1493243,78.8,Police Activity,3,PM Peak
2026-02-02,Bus,B46,Long Island,1354981,80.4,Weather,16,PM Peak
2026-02-02,Bus,S79,Staten Island,1462763,78.7,Signal Problem,11,PM Peak
2026-02-02,LIRR,Babylon,Manhattan,276635,78.0,No Incident,0,Evening
2026-02-02,LIRR,Port Washington,Brooklyn,284403,75.7,Signal Problem,3,AM Peak
2026-02-02,Metro-North,Harlem,Westchester,197134,69.9,No Incident,0,PM Peak
2026-02-02,Metro-North,New Haven,Long Island,234180,77.9,No Incident,0,PM Peak
2026-02-03,Subway,E,Staten Island,3423733,81.9,Signal Problem,6,AM Peak
2026-02-03,Subway,2,Manhattan,3674820,71.5,Track Work,23,Evening
2026-02-03,Bus,Q10,Queens,1442798,76.4,Mechanical Issue,6,PM Peak
